"Age","Checking Account Status","Credit Amount","Credit History","Duration in month","Housing","Installment rate in % of disposable income","Job type","Number of dependents","Number of existing credits","Other installment plans","Personal Status","Present Employment since","Present residence since","Property","Purpose","Savings Account/Bonds","Telephone","CreditRatingGood?"
35,"0 to 200 DM",1549,"existing credits paid back duly till now",9,"own",4,"unemployed unskilled - non-resident",1,1,"none","male single","Less than 1 year",2,"real estate","new car","unknown no savings account","none","true"
54,"no checking account",1597,"critical account other credits existing (not at this bank)",24,"for free",4,"skilled employee official",2,2,"none","male single","Greater than 7 years",4,"unknown / no property","education","Less than 100 DM","none","true"
48,"0 to 200 DM",1795,"critical account other credits existing (not at this bank)",18,"rent",3,"unskilled - resident",1,2,"bank","female divorced separated married","Greater than 7 years",4,"real estate","radio television","Less than 100 DM","yes registered under the customers name","true"
24,"Less than 0 DM",4272,"critical account other credits existing (not at this bank)",20,"own",1,"skilled employee official",1,2,"none","female divorced separated married","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
35,"no checking account",976,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","radio television","unknown no savings account","none","true"
24,"0 to 200 DM",7472,"existing credits paid back duly till now",12,"rent",1,"unemployed unskilled - non-resident",1,1,"none","female divorced separated married","unemployed",2,"real estate","new car","unknown no savings account","none","true"
24,"Less than 0 DM",9271,"existing credits paid back duly till now",36,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",1,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","false"
26,"0 to 200 DM",590,"existing credits paid back duly till now",6,"own",3,"unskilled - resident",1,1,"none","male married widowed","Less than 1 year",3,"real estate","radio television","Less than 100 DM","none","true"
65,"no checking account",930,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,4,"none","male single","Greater than 7 years",4,"real estate","radio television","unknown no savings account","none","true"
55,"0 to 200 DM",9283,"all credits at this bank paid back duly",42,"for free",1,"management self-employed highly qualified employee officer",1,1,"bank","male single","unemployed",2,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","true"
26,"0 to 200 DM",1778,"no credits taken all credits paid back duly",15,"rent",2,"unemployed unskilled - non-resident",1,2,"none","female divorced separated married","Less than 1 year",1,"real estate","new car","Less than 100 DM","none","false"
26,"0 to 200 DM",907,"existing credits paid back duly till now",8,"own",3,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",2,"real estate","business","Less than 100 DM","yes registered under the customers name","true"
28,"0 to 200 DM",484,"existing credits paid back duly till now",6,"own",3,"unskilled - resident",1,1,"bank","male married widowed","4 to 7 years",3,"real estate","radio television","Less than 100 DM","none","true"
24,"Less than 0 DM",9629,"critical account other credits existing (not at this bank)",36,"own",4,"skilled employee official",1,2,"none","male single","4 to 7 years",4,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","false"
54,"Less than 0 DM",3051,"existing credits paid back duly till now",48,"own",3,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"car or other not in attribute 6","domestic appliances","Less than 100 DM","none","false"
46,"Less than 0 DM",3931,"existing credits paid back duly till now",48,"for free",4,"skilled employee official",2,1,"none","male single","4 to 7 years",4,"unknown / no property","new car","Less than 100 DM","none","false"
54,"0 to 200 DM",7432,"delay in paying off in the past",36,"rent",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"building society savings agreement life insurance","new car","Less than 100 DM","none","true"
62,"no checking account",1338,"existing credits paid back duly till now",6,"own",1,"skilled employee official",1,1,"none","male divorced separated","1 to 4 years",4,"real estate","domestic appliances","500 to 1000 DM","none","true"
24,"no checking account",1554,"critical account other credits existing (not at this bank)",6,"rent",1,"skilled employee official",1,2,"none","female divorced separated married","4 to 7 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
43,"Less than 0 DM",15857,"existing credits paid back duly till now",36,"own",2,"management self-employed highly qualified employee officer",1,1,"none","male divorced separated","unemployed",3,"car or other not in attribute 6","used car0","Less than 100 DM","none","true"
26,"Less than 0 DM",1345,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"bank","male married widowed","1 to 4 years",3,"real estate","radio television","Less than 100 DM","none","false"
27,"no checking account",1101,"existing credits paid back duly till now",12,"own",3,"skilled employee official",1,2,"none","male married widowed","1 to 4 years",2,"real estate","new car","Less than 100 DM","yes registered under the customers name","true"
24,"Greater than 200 DM",3016,"existing credits paid back duly till now",12,"own",3,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",1,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
41,"Less than 0 DM",2712,"existing credits paid back duly till now",36,"own",2,"skilled employee official",2,1,"bank","male single","Greater than 7 years",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
47,"Less than 0 DM",731,"critical account other credits existing (not at this bank)",8,"own",4,"unskilled - resident",1,2,"none","male single","Greater than 7 years",4,"real estate","new car","Less than 100 DM","none","true"
35,"no checking account",3780,"critical account other credits existing (not at this bank)",18,"own",3,"management self-employed highly qualified employee officer",1,2,"none","male divorced separated","Less than 1 year",2,"car or other not in attribute 6","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
30,"Less than 0 DM",1602,"critical account other credits existing (not at this bank)",21,"own",4,"skilled employee official",1,2,"none","male married widowed","Greater than 7 years",3,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","true"
33,"Less than 0 DM",3966,"critical account other credits existing (not at this bank)",18,"rent",1,"skilled employee official",1,3,"bank","female divorced separated married","Greater than 7 years",4,"real estate","new car","Less than 100 DM","yes registered under the customers name","false"
36,"no checking account",4165,"no credits taken all credits paid back duly",18,"own",2,"skilled employee official",2,2,"stores","male single","1 to 4 years",2,"car or other not in attribute 6","business","Less than 100 DM","none","false"
47,"Less than 0 DM",8335,"existing credits paid back duly till now",36,"for free",3,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","used car","unknown no savings account","none","false"
38,"0 to 200 DM",6681,"delay in paying off in the past",48,"for free",4,"skilled employee official",2,1,"none","male single","1 to 4 years",4,"unknown / no property","business","unknown no savings account","yes registered under the customers name","true"
44,"no checking account",2375,"delay in paying off in the past",24,"own",4,"skilled employee official",2,2,"none","male single","1 to 4 years",2,"car or other not in attribute 6","business","500 to 1000 DM","yes registered under the customers name","true"
23,"Less than 0 DM",1216,"existing credits paid back duly till now",18,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",3,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","false"
29,"Less than 0 DM",11816,"no credits taken all credits paid back duly",45,"rent",2,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","business","Less than 100 DM","none","false"
42,"0 to 200 DM",5084,"existing credits paid back duly till now",24,"own",2,"skilled employee official",1,1,"none","female divorced separated married","Greater than 7 years",4,"car or other not in attribute 6","radio television","unknown no savings account","yes registered under the customers name","true"
25,"Greater than 200 DM",2327,"existing credits paid back duly till now",15,"own",2,"unskilled - resident",1,1,"none","female divorced separated married","Less than 1 year",3,"real estate","radio television","Less than 100 DM","none","false"
48,"Less than 0 DM",1082,"no credits taken all credits paid back duly",12,"own",4,"skilled employee official",1,2,"bank","male single","1 to 4 years",4,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
21,"no checking account",886,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","radio television","unknown no savings account","none","true"
23,"no checking account",601,"existing credits paid back duly till now",4,"rent",1,"unskilled - resident",2,1,"none","female divorced separated married","Less than 1 year",3,"real estate","furniture equipment","Less than 100 DM","none","true"
63,"Less than 0 DM",2957,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","used car","Less than 100 DM","yes registered under the customers name","true"
46,"no checking account",2611,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",1,2,"none","male married widowed","Greater than 7 years",3,"real estate","radio television","Less than 100 DM","none","true"
29,"Less than 0 DM",5179,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
28,"no checking account",2993,"delay in paying off in the past",21,"own",3,"unskilled - resident",1,2,"stores","male single","1 to 4 years",2,"real estate","used car","Less than 100 DM","none","true"
23,"no checking account",1943,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"real estate","repairs","Less than 100 DM","none","false"
50,"no checking account",1559,"all credits at this bank paid back duly",24,"own",4,"skilled employee official",1,1,"bank","male single","4 to 7 years",4,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","true"
47,"no checking account",3422,"existing credits paid back duly till now",18,"own",4,"skilled employee official",2,3,"bank","male single","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
35,"0 to 200 DM",3976,"existing credits paid back duly till now",21,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",3,"car or other not in attribute 6","furniture equipment","unknown no savings account","yes registered under the customers name","true"
68,"no checking account",6761,"existing credits paid back duly till now",18,"rent",2,"skilled employee official",1,2,"none","male single","1 to 4 years",4,"car or other not in attribute 6","new car","unknown no savings account","none","false"
28,"no checking account",1249,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",2,"real estate","new car","Less than 100 DM","none","true"
59,"Less than 0 DM",1364,"existing credits paid back duly till now",9,"own",3,"skilled employee official",1,1,"none","male single","4 to 7 years",4,"real estate","radio television","Less than 100 DM","none","true"
57,"Less than 0 DM",709,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",1,1,"stores","male single","Greater than 7 years",4,"real estate","radio television","Less than 100 DM","none","false"
33,"Less than 0 DM",2235,"critical account other credits existing (not at this bank)",20,"rent",4,"skilled employee official",1,2,"bank","male married widowed","1 to 4 years",2,"building society savings agreement life insurance","new car","Less than 100 DM","none","false"
43,"no checking account",4042,"critical account other credits existing (not at this bank)",24,"own",3,"skilled employee official",1,2,"none","male single","4 to 7 years",4,"building society savings agreement life insurance","used car","unknown no savings account","yes registered under the customers name","true"
35,"no checking account",1471,"critical account other credits existing (not at this bank)",15,"for free",4,"skilled employee official",1,2,"none","male single","1 to 4 years",4,"unknown / no property","radio television","Less than 100 DM","yes registered under the customers name","true"
32,"Less than 0 DM",1442,"all credits at this bank paid back duly",18,"for free",4,"unskilled - resident",2,2,"none","male single","4 to 7 years",4,"unknown / no property","new car","Less than 100 DM","none","false"
45,"no checking account",10875,"delay in paying off in the past",36,"own",2,"skilled employee official",2,2,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","true"
33,"no checking account",1474,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",3,"real estate","new car","100 to 500 DM","yes registered under the customers name","true"
40,"no checking account",894,"existing credits paid back duly till now",10,"own",4,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",3,"building society savings agreement life insurance","retraining","unknown no savings account","yes registered under the customers name","true"
28,"no checking account",3343,"critical account other credits existing (not at this bank)",15,"for free",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"unknown / no property","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
29,"Less than 0 DM",3959,"existing credits paid back duly till now",15,"own",3,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
26,"no checking account",3577,"existing credits paid back duly till now",9,"rent",1,"skilled employee official",2,1,"none","male single","1 to 4 years",2,"real estate","new car","100 to 500 DM","none","true"
27,"no checking account",5804,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"real estate","used car","Greater than 1000 DM","none","true"
28,"no checking account",2169,"delay in paying off in the past",18,"own",4,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",2,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","false"
35,"Less than 0 DM",2439,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"real estate","radio television","Less than 100 DM","yes registered under the customers name","false"
32,"no checking account",4526,"critical account other credits existing (not at this bank)",27,"own",4,"unskilled - resident",2,2,"stores","male single","Less than 1 year",2,"real estate","furniture equipment","Greater than 1000 DM","yes registered under the customers name","true"
25,"no checking account",2210,"existing credits paid back duly till now",10,"rent",2,"unskilled - resident",1,1,"bank","male single","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","none","false"
20,"no checking account",2221,"existing credits paid back duly till now",15,"rent",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","furniture equipment","500 to 1000 DM","none","true"
27,"Less than 0 DM",2389,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"stores","female divorced separated married","Less than 1 year",1,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
42,"no checking account",3331,"critical account other credits existing (not at this bank)",12,"own",2,"skilled employee official",1,1,"stores","male single","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
37,"no checking account",7409,"existing credits paid back duly till now",36,"own",3,"skilled employee official",1,2,"none","male single","Greater than 7 years",2,"building society savings agreement life insurance","business","unknown no savings account","none","true"
24,"Less than 0 DM",652,"existing credits paid back duly till now",12,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
40,"no checking account",7678,"delay in paying off in the past",36,"own",2,"skilled employee official",1,2,"none","female divorced separated married","4 to 7 years",4,"car or other not in attribute 6","furniture equipment","500 to 1000 DM","yes registered under the customers name","true"
46,"Greater than 200 DM",1343,"critical account other credits existing (not at this bank)",6,"own",1,"skilled employee official",2,2,"none","male single","Greater than 7 years",4,"real estate","new car","Less than 100 DM","none","true"
26,"Less than 0 DM",1382,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",1,2,"none","male single","4 to 7 years",1,"real estate","business","100 to 500 DM","yes registered under the customers name","true"
24,"no checking account",874,"existing credits paid back duly till now",15,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",1,"real estate","domestic appliances","unknown no savings account","none","true"
29,"Less than 0 DM",3590,"existing credits paid back duly till now",12,"own",2,"unskilled - resident",2,1,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
40,"0 to 200 DM",1322,"critical account other credits existing (not at this bank)",11,"own",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","new car","Greater than 1000 DM","none","true"
36,"Less than 0 DM",1940,"all credits at this bank paid back duly",18,"for free",3,"management self-employed highly qualified employee officer",1,1,"bank","male single","Less than 1 year",4,"unknown / no property","radio television","Less than 100 DM","yes registered under the customers name","true"
28,"no checking account",3595,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
27,"Less than 0 DM",1422,"existing credits paid back duly till now",9,"for free",3,"management self-employed highly qualified employee officer",1,1,"none","male single","Less than 1 year",2,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","false"
36,"no checking account",6742,"critical account other credits existing (not at this bank)",30,"own",2,"skilled employee official",1,2,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","radio television","unknown no savings account","none","true"
38,"no checking account",7814,"existing credits paid back duly till now",24,"own",3,"management self-employed highly qualified employee officer",1,1,"none","male single","4 to 7 years",3,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","true"
48,"no checking account",9277,"existing credits paid back duly till now",24,"for free",2,"skilled employee official",1,1,"none","male divorced separated","1 to 4 years",4,"unknown / no property","used car","unknown no savings account","yes registered under the customers name","true"
36,"0 to 200 DM",2181,"critical account other credits existing (not at this bank)",30,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"real estate","new car","unknown no savings account","none","true"
65,"no checking account",1098,"critical account other credits existing (not at this bank)",18,"own",4,"unemployed unskilled - non-resident",1,2,"none","female divorced separated married","unemployed",4,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
43,"0 to 200 DM",4057,"existing credits paid back duly till now",24,"own",3,"skilled employee official",1,1,"none","male divorced separated","4 to 7 years",3,"car or other not in attribute 6","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
53,"Less than 0 DM",795,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","education","Less than 100 DM","none","false"
34,"0 to 200 DM",2825,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",2,2,"none","male single","4 to 7 years",3,"unknown / no property","business","unknown no savings account","yes registered under the customers name","true"
23,"0 to 200 DM",15672,"existing credits paid back duly till now",48,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","false"
34,"no checking account",6614,"critical account other credits existing (not at this bank)",36,"own",4,"management self-employed highly qualified employee officer",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","true"
40,"no checking account",7824,"all credits at this bank paid back duly",28,"rent",3,"skilled employee official",2,2,"bank","male single","Less than 1 year",4,"real estate","used car","unknown no savings account","yes registered under the customers name","true"
43,"Less than 0 DM",2442,"critical account other credits existing (not at this bank)",27,"own",4,"management self-employed highly qualified employee officer",2,4,"stores","male single","Greater than 7 years",4,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","true"
46,"no checking account",1829,"critical account other credits existing (not at this bank)",15,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
38,"Less than 0 DM",2171,"critical account other credits existing (not at this bank)",12,"own",4,"unskilled - resident",1,2,"bank","male single","1 to 4 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","none","true"
34,"0 to 200 DM",5800,"critical account other credits existing (not at this bank)",36,"own",3,"skilled employee official",1,2,"none","male single","1 to 4 years",4,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","true"
29,"no checking account",1169,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","male single","1 to 4 years",3,"building society savings agreement life insurance","radio television","unknown no savings account","yes registered under the customers name","true"
31,"no checking account",8947,"delay in paying off in the past",36,"own",3,"management self-employed highly qualified employee officer",2,1,"stores","male single","4 to 7 years",2,"car or other not in attribute 6","used car","unknown no savings account","yes registered under the customers name","true"
28,"Less than 0 DM",2606,"existing credits paid back duly till now",21,"rent",4,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","radio television","Less than 100 DM","yes registered under the customers name","true"
35,"no checking account",1592,"critical account other credits existing (not at this bank)",12,"own",3,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",2,"building society savings agreement life insurance","furniture equipment","Greater than 1000 DM","none","true"
33,"no checking account",2186,"existing credits paid back duly till now",15,"rent",1,"unskilled - resident",1,1,"bank","female divorced separated married","4 to 7 years",4,"real estate","furniture equipment","unknown no savings account","none","true"
42,"Less than 0 DM",4153,"existing credits paid back duly till now",18,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",3,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
43,"Less than 0 DM",2625,"critical account other credits existing (not at this bank)",16,"rent",2,"skilled employee official",1,1,"bank","male single","Greater than 7 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
44,"no checking account",3485,"critical account other credits existing (not at this bank)",20,"own",2,"skilled employee official",1,2,"none","male divorced separated","Less than 1 year",4,"real estate","new car","unknown no savings account","yes registered under the customers name","true"
42,"no checking account",10477,"critical account other credits existing (not at this bank)",36,"for free",2,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"unknown / no property","used car","unknown no savings account","none","true"
40,"no checking account",1386,"existing credits paid back duly till now",15,"rent",4,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",2,"real estate","radio television","unknown no savings account","yes registered under the customers name","true"
36,"no checking account",1278,"existing credits paid back duly till now",24,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",1,"real estate","radio television","Less than 100 DM","yes registered under the customers name","true"
20,"Less than 0 DM",1107,"existing credits paid back duly till now",12,"rent",2,"management self-employed highly qualified employee officer",2,1,"none","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","yes registered under the customers name","true"
24,"Less than 0 DM",3763,"existing credits paid back duly till now",21,"own",2,"unskilled - resident",1,1,"none","male single","4 to 7 years",2,"real estate","new car","unknown no savings account","none","true"
27,"0 to 200 DM",3711,"existing credits paid back duly till now",36,"own",2,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",2,"car or other not in attribute 6","education","unknown no savings account","none","true"
46,"no checking account",3594,"delay in paying off in the past",15,"own",1,"unskilled - resident",1,2,"none","female divorced separated married","Less than 1 year",2,"building society savings agreement life insurance","used car","Less than 100 DM","none","true"
33,"0 to 200 DM",3195,"existing credits paid back duly till now",9,"own",1,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","new car","unknown no savings account","none","true"
34,"no checking account",4454,"delay in paying off in the past",36,"own",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",4,"real estate","radio television","Less than 100 DM","none","true"
25,"0 to 200 DM",4736,"critical account other credits existing (not at this bank)",24,"own",2,"unskilled - resident",1,1,"bank","female divorced separated married","Less than 1 year",4,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
25,"0 to 200 DM",2991,"existing credits paid back duly till now",30,"own",2,"skilled employee official",1,1,"none","female divorced separated married","Greater than 7 years",4,"car or other not in attribute 6","radio television","unknown no savings account","none","true"
28,"no checking account",2142,"existing credits paid back duly till now",11,"own",1,"skilled employee official",1,1,"none","male divorced separated","Greater than 7 years",2,"real estate","business","Greater than 1000 DM","yes registered under the customers name","true"
31,"Less than 0 DM",3161,"all credits at this bank paid back duly",24,"rent",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","business","Less than 100 DM","yes registered under the customers name","false"
32,"0 to 200 DM",18424,"no credits taken all credits paid back duly",48,"own",1,"management self-employed highly qualified employee officer",1,1,"bank","female divorced separated married","1 to 4 years",2,"building society savings agreement life insurance","used car0","Less than 100 DM","yes registered under the customers name","false"
32,"no checking account",2848,"existing credits paid back duly till now",10,"own",1,"skilled employee official",2,1,"none","male single","1 to 4 years",2,"real estate","used car","100 to 500 DM","none","true"
68,"Less than 0 DM",14896,"existing credits paid back duly till now",6,"own",1,"management self-employed highly qualified employee officer",1,1,"bank","male single","Greater than 7 years",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","false"
33,"Less than 0 DM",2359,"existing credits paid back duly till now",24,"own",1,"skilled employee official",1,1,"none","male divorced separated","unemployed",1,"building society savings agreement life insurance","furniture equipment","100 to 500 DM","none","false"
39,"Less than 0 DM",3345,"existing credits paid back duly till now",24,"rent",4,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
28,"no checking account",1817,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",2,"unknown / no property","furniture equipment","Less than 100 DM","none","true"
37,"no checking account",12749,"delay in paying off in the past",48,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male single","4 to 7 years",1,"car or other not in attribute 6","radio television","500 to 1000 DM","yes registered under the customers name","true"
22,"Less than 0 DM",1366,"existing credits paid back duly till now",9,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
30,"0 to 200 DM",2002,"existing credits paid back duly till now",12,"rent",3,"skilled employee official",2,1,"none","male single","4 to 7 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","true"
55,"Less than 0 DM",6872,"all credits at this bank paid back duly",24,"own",2,"skilled employee official",1,1,"bank","male divorced separated","Less than 1 year",1,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
46,"Less than 0 DM",697,"all credits at this bank paid back duly",12,"own",4,"skilled employee official",1,2,"bank","male single","Less than 1 year",2,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","false"
21,"Less than 0 DM",1049,"critical account other credits existing (not at this bank)",18,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
39,"Less than 0 DM",10297,"existing credits paid back duly till now",48,"for free",4,"skilled employee official",2,3,"stores","male single","4 to 7 years",4,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","false"
58,"no checking account",1867,"existing credits paid back duly till now",30,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","radio television","unknown no savings account","yes registered under the customers name","true"
43,"Less than 0 DM",1344,"delay in paying off in the past",12,"own",4,"unskilled - resident",2,2,"none","male single","1 to 4 years",2,"real estate","new car","Less than 100 DM","none","true"
24,"Less than 0 DM",1747,"existing credits paid back duly till now",24,"own",4,"unskilled - resident",1,1,"none","male single","Less than 1 year",1,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
22,"0 to 200 DM",1670,"existing credits paid back duly till now",9,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",2,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","false"
30,"no checking account",1224,"critical account other credits existing (not at this bank)",9,"own",3,"skilled employee official",1,2,"none","male single","1 to 4 years",1,"real estate","new car","Less than 100 DM","none","true"
42,"no checking account",522,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",2,2,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","radio television","500 to 1000 DM","yes registered under the customers name","true"
23,"Less than 0 DM",1498,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"bank","female divorced separated married","1 to 4 years",1,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
30,"0 to 200 DM",1919,"delay in paying off in the past",30,"own",4,"management self-employed highly qualified employee officer",1,2,"stores","male single","Less than 1 year",3,"unknown / no property","radio television","100 to 500 DM","none","false"
28,"Greater than 200 DM",745,"existing credits paid back duly till now",9,"own",3,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","false"
30,"0 to 200 DM",2063,"existing credits paid back duly till now",6,"rent",4,"management self-employed highly qualified employee officer",1,1,"none","male married widowed","Less than 1 year",3,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
42,"0 to 200 DM",6288,"existing credits paid back duly till now",60,"for free",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"unknown / no property","education","Less than 100 DM","none","false"
46,"no checking account",6842,"critical account other credits existing (not at this bank)",24,"own",2,"management self-employed highly qualified employee officer",2,2,"none","male single","1 to 4 years",4,"building society savings agreement life insurance","used car","unknown no savings account","yes registered under the customers name","true"
45,"no checking account",3527,"existing credits paid back duly till now",12,"own",2,"management self-employed highly qualified employee officer",2,1,"none","male single","Less than 1 year",3,"building society savings agreement life insurance","new car","unknown no savings account","yes registered under the customers name","true"
